name,gender,age,country_id,gender_probability,country_probability
demo_alice_ng,female,28,NG,0.97,0.92
demo_bob_gh,male,34,GH,0.95,0.88
demo_charlie_ke,male,22,KE,0.93,0.91
demo_diana_za,female,41,ZA,0.98,0.94
demo_evan_ng,male,19,NG,0.91,0.89
demo_fatima_ng,female,26,NG,0.96,0.93
demo_george_gh,male,33,GH,0.94,0.87
demo_helen_ke,female,29,KE,0.97,0.90
demo_ivan_za,male,45,ZA,0.92,0.85
demo_julia_ng,female,38,NG,0.99,0.95
demo_kevin_gh,male,24,GH,0.90,0.88
demo_linda_ke,female,31,KE,0.96,0.91
demo_mike_za,male,27,ZA,0.94,0.86
demo_nancy_ng,female,35,NG,0.97,0.93
demo_oliver_gh,male,42,GH,0.93,0.89
demo_petra_ke,female,23,KE,0.95,0.90
demo_quincy_za,male,30,ZA,0.91,0.87
demo_rachel_ng,female,44,NG,0.98,0.94
demo_sam_gh,male,21,GH,0.92,0.88
demo_tina_ke,female,37,KE,0.96,0.92
